Sku,MainGroupCode,SubGroupCode,year,week,sales,stock,gross_margin,promo
TEX001,CARSAF,LASTIKLI,2023,1,45,500,38.5,0
TEX001,CARSAF,LASTIKLI,2023,2,48,492,38.2,0
TEX001,CARSAF,LASTIKLI,2023,3,52,485,38.8,0
TEX001,CARSAF,LASTIKLI,2023,4,50,480,39.0,0
TEX001,CARSAF,LASTIKLI,2023,42,110,450,42.0,0
TEX001,CARSAF,LASTIKLI,2023,43,145,420,43.5,0
TEX001,CARSAF,LASTIKLI,2023,44,220,380,45.0,1
TEX001,CARSAF,LASTIKLI,2023,45,280,320,46.2,1
TEX001,CARSAF,LASTIKLI,2023,46,190,280,44.5,1
TEX001,CARSAF,LASTIKLI,2023,47,135,260,42.0,0
TEX001,CARSAF,LASTIKLI,2023,48,95,240,40.5,0
TEX001,CARSAF,LASTIKLI,2024,1,52,650,39.0,0
TEX001,CARSAF,LASTIKLI,2024,2,55,640,39.2,0
TEX001,CARSAF,LASTIKLI,2024,3,58,630,39.5,0
TEX001,CARSAF,LASTIKLI,2024,42,125,520,43.0,0
TEX001,CARSAF,LASTIKLI,2024,43,165,490,44.2,0
TEX001,CARSAF,LASTIKLI,2024,44,260,430,46.5,1
TEX001,CARSAF,LASTIKLI,2024,45,310,360,47.8,1
TEX002,CARSAF,PIKE,2023,1,35,400,35.0,0
TEX002,CARSAF,PIKE,2023,2,38,395,35.5,0
TEX002,CARSAF,PIKE,2023,22,85,380,40.0,0
TEX002,CARSAF,PIKE,2023,23,95,370,41.2,0
TEX002,CARSAF,PIKE,2023,24,105,360,42.5,1
TEX002,CARSAF,PIKE,2023,25,120,340,43.8,1
TEX002,CARSAF,PIKE,2023,26,98,325,42.0,0
TEX002,CARSAF,PIKE,2023,44,140,310,43.5,1
TEX002,CARSAF,PIKE,2023,45,165,285,44.8,1
TEX002,CARSAF,PIKE,2024,1,40,480,36.0,0
TEX002,CARSAF,PIKE,2024,2,42,475,36.2,0
TEX002,CARSAF,PIKE,2024,22,95,450,41.0,0
TEX002,CARSAF,PIKE,2024,23,108,440,42.0,0
TEX002,CARSAF,PIKE,2024,24,118,425,43.5,1
TEX002,CARSAF,PIKE,2024,25,135,405,45.0,1
,CARSAF,LASTIKLI,2023,1,320,5500,37.5,0
,CARSAF,LASTIKLI,2023,2,335,5450,37.8,0
,CARSAF,LASTIKLI,2023,3,340,5400,38.0,0
,CARSAF,LASTIKLI,2023,22,280,5200,36.5,0
,CARSAF,LASTIKLI,2023,23,285,5150,36.8,0
,CARSAF,LASTIKLI,2023,42,550,4800,42.0,0
,CARSAF,LASTIKLI,2023,43,680,4600,43.5,0
,CARSAF,LASTIKLI,2023,44,1100,4200,45.8,1
,CARSAF,LASTIKLI,2023,45,1350,3800,47.2,1
,CARSAF,LASTIKLI,2023,46,950,3500,45.0,1
,CARSAF,LASTIKLI,2023,47,720,3300,43.5,0
,CARSAF,LASTIKLI,2024,1,350,6200,38.0,0
,CARSAF,LASTIKLI,2024,2,360,6150,38.2,0
,CARSAF,LASTIKLI,2024,3,365,6100,38.5,0
,CARSAF,LASTIKLI,2024,22,295,5800,37.0,0
,CARSAF,LASTIKLI,2024,23,305,5750,37.5,0
,CARSAF,LASTIKLI,2024,42,595,5300,43.0,0
,CARSAF,LASTIKLI,2024,43,735,5050,44.5,0
,CARSAF,LASTIKLI,2024,44,1250,4500,47.0,1
,CARSAF,LASTIKLI,2024,45,1520,3950,48.5,1
,CARSAF,PIKE,2023,1,280,4500,36.0,0
,CARSAF,PIKE,2023,2,290,4450,36.2,0
,CARSAF,PIKE,2023,22,520,4200,40.5,0
,CARSAF,PIKE,2023,23,565,4100,41.2,0
,CARSAF,PIKE,2023,24,620,3950,42.8,1
,CARSAF,PIKE,2023,25,685,3800,44.0,1
,CARSAF,PIKE,2023,26,550,3700,42.5,0
,CARSAF,PIKE,2023,44,750,3500,43.5,1
,CARSAF,PIKE,2023,45,840,3300,44.8,1
,CARSAF,PIKE,2024,1,310,5100,37.0,0
,CARSAF,PIKE,2024,2,320,5050,37.5,0
,CARSAF,PIKE,2024,22,580,4800,41.5,0
,CARSAF,PIKE,2024,23,625,4700,42.5,0
,CARSAF,PIKE,2024,24,690,4550,44.0,1
,CARSAF,PIKE,2024,25,760,4350,45.5,1
,HAVLU,BANYO,2023,1,180,3500,32.5,0
,HAVLU,BANYO,2023,2,185,3480,32.8,0
,HAVLU,BANYO,2023,22,210,3400,35.0,0
,HAVLU,BANYO,2023,23,225,3380,35.5,0
,HAVLU,BANYO,2023,44,420,3200,38.5,1
,HAVLU,BANYO,2023,45,480,3050,39.8,1
,HAVLU,BANYO,2024,1,195,3850,33.0,0
,HAVLU,BANYO,2024,2,200,3830,33.5,0
,HAVLU,BANYO,2024,22,235,3750,36.0,0
,HAVLU,BANYO,2024,23,248,3720,36.8,0
,HAVLU,BANYO,2024,44,465,3520,39.5,1
,HAVLU,BANYO,2024,45,525,3350,41.0,1
